,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,date
65,"Joinville, SC, Brasil",2023-08-13,15.7,13.1,14.3,15.7,13.1,14.3,11.6,84.5,1.1,100,37.5,rain,0,0,12.6,12.7,105.6,1024.7,94.7,13.1,65.0,5.6,4,10,2023-08-13T06:46:14,2023-08-13T17:54:44,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,82798199999,86945099999,86947099999,SBJV",2023-08-13
66,"Joinville, SC, Brasil",2023-08-14,20.0,13.0,16.1,20.0,13.0,16.1,13.8,86.6,0.0,0,0.0,,0,0,13.3,11.2,34.2,1022.8,73.4,13.6,145.8,12.6,7,10,2023-08-14T06:45:24,2023-08-14T17:55:11,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,82798199999,86945099999,86947099999,SBJV",2023-08-14
67,"Joinville, SC, Brasil",2023-08-15,24.8,11.4,18.1,24.8,11.4,18.1,15.0,83.5,0.0,0,0.0,,0,0,17.6,14.3,15.5,1021.1,64.8,13.6,208.0,17.9,7,10,2023-08-15T06:44:33,2023-08-15T17:55:39,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-15
68,"Joinville, SC, Brasil",2023-08-16,24.7,17.3,19.7,24.7,17.3,19.7,18.3,92.1,0.1,100,4.17,rain,0,0,12.2,9.2,24.9,1020.5,79.8,10.3,122.3,10.6,6,10,2023-08-16T06:43:42,2023-08-16T17:56:07,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-16
69,"Joinville, SC, Brasil",2023-08-17,24.8,18.1,21.0,24.8,18.1,21.0,19.7,92.6,0.1,100,4.17,rain,0,0,16.6,7.9,73.2,1015.4,70.7,10.8,174.5,15.1,7,30,2023-08-17T06:42:49,2023-08-17T17:56:34,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-17
70,"Joinville, SC, Brasil",2023-08-18,30.7,18.0,22.6,33.3,18.0,23.1,19.8,86.2,3.9,100,8.33,rain,0,0,42.8,15.5,145.6,1006.8,44.9,10.8,199.1,17.1,7,30,2023-08-18T06:41:56,2023-08-18T17:57:01,0.08,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-18
71,"Joinville, SC, Brasil",2023-08-19,22.9,16.7,19.1,22.9,16.7,19.1,16.3,84.5,4.0,100,25.0,rain,0,0,16.9,25.0,108.6,1010.0,77.7,12.9,157.7,13.6,7,10,2023-08-19T06:41:02,2023-08-19T17:57:28,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-19
72,"Joinville, SC, Brasil",2023-08-20,24.8,15.2,19.7,24.8,15.2,19.7,16.9,85.1,1.5,100,20.83,rain,0,0,13.7,16.3,19.9,1011.2,52.1,13.6,94.4,8.2,4,10,2023-08-20T06:40:07,2023-08-20T17:57:55,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,82798199999,86948099999,86947099999,SBJV",2023-08-20
73,"Joinville, SC, Brasil",2023-08-21,25.8,14.3,19.9,25.8,14.3,19.9,17.4,86.9,0.0,0,0.0,,0,0,15.1,19.7,134.4,1010.4,53.7,13.6,170.6,14.8,8,30,2023-08-21T06:39:12,2023-08-21T17:58:21,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-21
74,"Joinville, SC, Brasil",2023-08-22,26.7,12.3,19.8,28.4,12.3,19.9,17.9,89.6,0.0,0,0.0,,0,0,14.4,11.3,95.0,1007.9,47.6,8.5,200.3,17.5,7,10,2023-08-22T06:38:16,2023-08-22T17:58:48,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,83905099999,86946099999,F5423,82599199999,86945099999,86948099999,82798199999,86947099999,SBJV",2023-08-22
