,date,start_time,name,type,month,year,dayofyear,weekday,distance,max_heartrate,average_heartrate,average_speed,max_speed,total_elevation_gain,time_min,tempmax,tempmin,temp,conditions,description,icon
55,2024-01-19,19:55:18,Treinamento com peso ao entardecer,WeightTraining,January,2024,19,Friday,0.0,133.0,101.9,0.0,0.0,0.0,46.52,33.8,24.0,27.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
56,2024-01-17,20:18:57,Treinamento com peso ao entardecer,WeightTraining,January,2024,17,Wednesday,0.0,129.0,99.6,0.0,0.0,0.0,55.37,30.8,24.6,26.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
57,2024-01-16,07:20:28,Corrida matinal,Run,January,2024,16,Tuesday,4.39,179.0,125.1,6.69,0.0,0.0,39.35,33.7,22.9,27.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
58,2024-01-15,07:21:24,Treinamento com peso matinal,WeightTraining,January,2024,15,Monday,0.0,130.0,95.5,0.0,0.0,0.0,55.47,30.9,21.4,25.9,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
59,2024-01-13,15:57:15,Corrida da tarde,Run,January,2024,13,Saturday,5.53,159.0,123.8,6.41,31.99,5.3,52.45,24.0,21.0,22.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
60,2024-01-12,08:19:53,Treinamento com peso matinal,WeightTraining,January,2024,12,Friday,0.0,132.0,105.6,0.0,0.0,0.0,52.92,26.0,22.0,24.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
61,2024-01-11,16:46:33,Treinamento com peso vespertino,WeightTraining,January,2024,11,Thursday,0.0,132.0,100.8,0.0,0.0,0.0,53.78,33.7,24.0,27.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
62,2024-01-10,16:25:43,Corrida da tarde,Run,January,2024,10,Wednesday,3.51,152.0,114.7,6.48,0.0,0.0,32.5,33.7,22.9,27.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
63,2024-01-10,15:25:34,Treinamento com peso vespertino,WeightTraining,January,2024,10,Wednesday,0.0,126.0,99.5,0.0,0.0,0.0,59.8,33.7,22.9,27.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
64,2024-01-05,17:49:09,Corrida da tarde,Run,January,2024,5,Friday,2.27,168.0,120.2,6.21,12.66,2.9,22.75,25.9,19.1,22.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
65,2024-01-04,12:14:37,Treinamento com peso na hora do almoço,WeightTraining,January,2024,4,Thursday,0.0,125.0,90.6,0.0,0.0,0.0,42.85,27.0,20.4,23.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
66,2024-01-03,20:16:39,Treinamento com peso ao entardecer,WeightTraining,January,2024,3,Wednesday,0.0,124.0,92.6,0.0,0.0,0.0,52.07,24.8,21.0,22.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
67,2024-01-02,19:50:23,Corrida ao entardecer,Run,January,2024,2,Tuesday,3.8,160.0,116.9,5.59,18.61,8.9,41.45,29.8,21.0,25.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
68,2023-12-13,21:02:21,Treinamento com peso noturno,WeightTraining,December,2023,347,Wednesday,0.0,109.0,87.7,0.0,0.0,0.0,44.32,29.8,17.4,24.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
69,2023-12-08,21:06:28,Treinamento com peso noturno,WeightTraining,December,2023,342,Friday,0.0,119.0,98.1,0.0,0.0,0.0,34.37,23.9,19.1,22.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
70,2023-12-08,20:50:17,Corrida ao entardecer,Run,December,2023,342,Friday,1.86,165.0,134.1,6.97,0.0,0.0,16.02,23.9,19.1,22.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
71,2023-12-07,12:04:27,Treinamento com peso na hora do almoço,WeightTraining,December,2023,341,Thursday,0.0,127.0,98.3,0.0,0.0,0.0,40.83,34.6,23.7,28.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
72,2023-12-06,07:22:01,Treinamento com peso matinal,WeightTraining,December,2023,340,Wednesday,0.0,122.0,94.5,0.0,0.0,0.0,41.7,29.8,23.0,26.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
73,2023-12-02,17:55:36,Corrida da tarde,Run,December,2023,336,Saturday,5.01,164.0,122.4,6.66,0.0,0.0,45.12,28.9,23.4,26.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
