,date,start_time,name,type,month,year,dayofyear,weekday,distance,max_heartrate,average_heartrate,average_speed,max_speed,total_elevation_gain,time_min
77,2023-12-08,20:50:17,Corrida ao entardecer,Run,December,2023,342,Friday,1.86,165.0,134.1,6.97,0.0,0.0,16.02
78,2023-12-07,12:04:27,Treinamento com peso na hora do almoço,WeightTraining,December,2023,341,Thursday,0.0,127.0,98.3,0.0,0.0,0.0,40.83
79,2023-12-06,07:22:01,Treinamento com peso matinal,WeightTraining,December,2023,340,Wednesday,0.0,122.0,94.5,0.0,0.0,0.0,41.7
80,2023-12-02,17:55:36,Corrida da tarde,Run,December,2023,336,Saturday,5.01,164.0,122.4,6.66,0.0,0.0,45.12
81,2023-11-23,07:26:25,Treinamento com peso matinal,WeightTraining,November,2023,327,Thursday,0.0,117.0,94.1,0.0,0.0,0.0,49.25
82,2023-11-22,07:28:22,Treinamento com peso matinal,WeightTraining,November,2023,326,Wednesday,0.0,107.0,94.0,0.0,0.0,0.0,42.87
83,2023-11-16,20:11:11,Corrida ao entardecer,Run,November,2023,320,Thursday,3.0,173.0,128.2,4.35,0.0,0.0,41.38
84,2023-11-14,07:18:29,Treinamento com peso matinal,WeightTraining,November,2023,318,Tuesday,0.0,111.0,91.6,0.0,0.0,0.0,50.48
85,2023-10-21,16:57:46,Corrida da tarde,Run,October,2023,294,Saturday,2.31,122.0,102.0,5.21,13.02,3.6,57.85
86,2023-10-13,16:24:36,Treinamento com peso vespertino,WeightTraining,October,2023,286,Friday,0.0,113.0,97.2,0.0,0.0,0.0,38.5
87,2023-10-10,12:05:56,Treinamento com peso na hora do almoço,WeightTraining,October,2023,283,Tuesday,0.0,124.0,97.1,0.0,0.0,0.0,43.53
88,2023-10-09,12:15:51,Treinamento com peso na hora do almoço,WeightTraining,October,2023,282,Monday,0.0,127.0,88.0,0.0,0.0,0.0,60.0
89,2023-10-06,12:14:40,Treinamento com peso na hora do almoço,WeightTraining,October,2023,279,Friday,0.0,121.0,91.1,0.0,0.0,0.0,39.53
90,2023-10-03,12:15:56,Treinamento com peso na hora do almoço,WeightTraining,October,2023,276,Tuesday,0.0,122.0,94.1,0.0,0.0,0.0,39.97
91,2023-10-02,12:20:20,Treinamento com peso na hora do almoço,WeightTraining,October,2023,275,Monday,0.0,121.0,95.1,0.0,0.0,0.0,39.75
92,2023-10-01,18:04:04,Corrida ao entardecer,Run,October,2023,274,Sunday,3.15,167.0,124.4,6.93,14.32,6.5,27.5
93,2023-09-27,12:12:46,Treinamento com peso na hora do almoço,WeightTraining,September,2023,270,Wednesday,0.0,124.0,98.5,0.0,0.0,0.0,38.87
94,2023-09-26,12:09:20,Treinamento com peso na hora do almoço,WeightTraining,September,2023,269,Tuesday,0.0,117.0,92.0,0.0,0.0,0.0,45.28
95,2023-09-24,11:02:17,Corrida na hora do almoço,Run,September,2023,267,Sunday,1.66,97.0,83.7,5.34,10.19,5.9,38.47
97,2023-09-23,11:34:34,Treinamento com peso na hora do almoço,WeightTraining,September,2023,266,Saturday,0.0,117.0,92.4,0.0,0.0,0.0,50.43
98,2023-09-18,19:48:15,Corrida ao entardecer,Run,September,2023,261,Monday,4.28,99.0,94.0,4.89,17.42,11.5,53.72
99,2023-06-25,16:32:13,Corrida da tarde,Run,June,2023,176,Sunday,2.82,170.0,147.8,6.95,13.27,12.9,24.65
100,2023-06-23,12:07:29,Treinamento com peso na hora do almoço,WeightTraining,June,2023,174,Friday,0.0,136.0,109.0,0.0,0.0,0.0,56.18
101,2023-06-22,12:13:07,Treinamento com peso na hora do almoço,WeightTraining,June,2023,173,Thursday,0.0,116.0,92.7,0.0,0.0,0.0,46.67
102,2023-06-21,12:18:08,Treinamento com peso na hora do almoço,WeightTraining,June,2023,172,Wednesday,0.0,117.0,82.2,0.0,0.0,0.0,39.47
103,2023-06-20,12:19:52,Corrida na hora do almoço,Run,June,2023,171,Tuesday,3.0,179.0,128.5,3.84,0.0,0.0,46.8
104,2023-06-15,12:08:12,Treinamento com peso na hora do almoço,WeightTraining,June,2023,166,Thursday,0.0,136.0,96.2,0.0,0.0,0.0,53.17
105,2023-06-14,12:09:52,Treinamento com peso na hora do almoço,WeightTraining,June,2023,165,Wednesday,0.0,119.0,88.9,0.0,0.0,0.0,55.35
106,2023-06-09,19:43:26,Corrida ao anoitecer,Run,June,2023,160,Friday,4.46,183.0,137.6,6.41,13.03,18.0,44.33
